,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Mean GA Maximum Trip Time,STDEV GA Maximum Trip Time,Best GA Maximum Trip Time,Mean Execution Time GA-50,STDEV Execution Time GA-50,Best Execution Time GA-50,,,,,,,Actual order,,
18,18,8,11,3,18,1,2,64,0,64,9.2,0,9.1,,,,,,,18,1,9.1
3,3,11,19,5,40,2,3,148,0,148,20.6,3,16.1,,,,,,,3,2,16.1
13,14,7,21,8,12,4,2,7,0,7,44.9,4.9,38.6,,,,,,,13,4,32.8
14,13,7,21,8,16,4,2,15,0,15,40.4,3.4,32.8,,,,,,,14,3,38.6
0,0,12,22,7,40,3,3,126,0,126,24.1,2.7,21.2,,,,,,,0,5,21.2
19,6,12,22,8,40,4,3,134.6,0.9,134,34.5,4,28.7,,,,,,,19,8,43
2,2,12,22,8,40,4,3,43.1,26.6,34,34.5,4.4,28.3,,,,,,,2,7,28.3
5,19,11,22,8,18,4,3,16.2,0.4,16,54.9,7.8,43,,,,,,,5,9,21.8
6,5,12,22,7,44,3,3,41.4,0.8,41,28.7,4.5,21.8,,,,,,,6,6,28.7
11,11,13,23,7,60,3,3,73.5,43.2,59,28.6,6.8,20,,,,,,,11,10,20
9,9,12,25,9,38,4,3,121.4,2,120,57.2,13.2,47.2,,,,,,,9,11,47.2
1,1,12,26,9,40,4,3,116.2,25.5,40,54.8,7.3,45.6,,,,,,,1,12,45.6
4,4,13,26,7,44,3,3,142.2,1.2,141,42.7,6.7,32,,,,,,,4,13,32
12,16,8,28,10,14,5,2,10,0,10,95.4,5.8,86.1,,,,,,,12,16,89.9
15,15,8,28,10,16,5,2,12.3,0.5,12,96.1,12,75.6,,,,,,,15,15,75.6
16,12,10,28,9,198,4,3,48,0,48,99.1,6.2,89.9,,,,,,,16,14,86.1
20,20,11,33,11,18,5,3,15,0,15,120.5,17.1,87.9,,,,,,,20,17,87.9
17,17,9,36,13,16,6,2,13.4,0.5,13,146.2,17.5,117.5,,,,,,,17,18,117.5
21,21,11,44,14,18,7,3,11.9,0.5,11,254.5,20,211.7,,,,,,,21,19,211.7
10,10,22,45,16,38,8,5,33,2,29,227.5,32.8,164.4,,,,,,,10,20,164.4
7,7,27,46,13,18,6,6,62.7,3.1,56,180.5,34.8,131.9,,,,,,,7,21,131.9
8,8,27,51,16,18,8,6,60.3,3.7,57,362.9,65.4,256.2,,,,,,,8,22,256.2
22,22,11,55,18,16,9,3,13.6,0.7,13,457,65,341.7,,,,,,,22,23,341.7
