,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Initial solution Execution Time,Initial solution Maximum Trip Time,Mean TS Maximum Trip Time,STDEV TS Maximum Trip Time,Best TS Maximum Trip Time,Mean Execution Time TS-500,STDEV Execution Time TS-500,Best Execution Time TS-500,,,,,Actual order,,
0,18,8,11,3,18,1,2,0.004,68,68,0,68,0,0,0,,,,,18,1,0
1,3,11,19,5,40,2,3,0.006,364,224.8,38.7,148,3.6,0.1,3.5,,,,,3,2,3.6
2,14,7,21,8,12,4,2,0.013,40,7.9,0.9,7,3.3,0.3,2.9,,,,,13,4,3.1
3,13,7,21,8,16,4,2,0.013,61,27.1,18.3,15,3.1,0.2,2.9,,,,,14,3,3.3
4,0,12,22,7,40,3,3,0.009,258,149,0,149,3.8,0.1,3.7,,,,,0,5,3.8
5,6,12,22,8,40,4,3,0.01,376,140.1,3.2,136,2.9,0.2,2.7,,,,,19,8,3.9
6,2,12,22,8,40,4,3,0.013,349,102.6,44.5,35,2.7,0.1,2.6,,,,,2,7,2.7
7,19,11,22,8,18,4,3,0.019,108,28.9,17.5,16,3.9,0.2,3.7,,,,,5,9,3.8
8,5,12,22,7,44,3,3,0.014,412,131.5,29.7,43,3.8,0.5,3.1,,,,,6,6,2.9
9,11,13,23,7,60,3,3,0.011,233,203,0,203,4.4,0,4.3,,,,,11,10,4.4
10,9,12,25,9,38,4,3,0.022,321,124.4,5.6,120,3.9,0.3,3.4,,,,,9,11,3.9
11,1,12,26,9,40,4,3,0.018,354,138.3,6.7,124,4.5,0.3,4,,,,,1,12,4.5
12,4,13,26,7,44,3,3,0.017,275,149.4,3,144,4.6,0.5,3.9,,,,,4,13,4.6
13,16,8,28,10,14,5,2,0.022,47,10.5,0.7,10,4.1,0.2,3.9,,,,,12,16,5.7
14,15,8,28,10,16,5,2,0.021,51,16,0,16,4.5,0.1,4.4,,,,,15,15,4.5
15,12,10,28,9,198,4,3,0.022,109,53.9,5.5,48,5.7,0.8,4.7,,,,,16,14,4.1
16,20,11,33,11,18,5,3,0.029,60,16,0,16,5.8,0.2,5.4,,,,,20,17,5.8
17,17,9,36,13,16,6,2,0.034,136,30.4,18.3,14,6.2,0.7,5.4,,,,,17,18,6.2
18,21,11,44,14,18,7,3,0.043,55,17.2,0.4,17,7,0.2,6.6,,,,,21,19,7
19,10,22,45,16,38,8,5,0.043,242,137,0,137,9,0.2,8.7,,,,,10,20,9
20,7,27,46,13,18,6,6,0.058,264,103.2,34.4,64,10.6,1.5,9,,,,,7,21,10.6
21,8,27,51,16,18,8,6,0.085,172,92.3,19.1,69,11.4,1.2,9.6,,,,,8,22,11.4
22,22,11,55,18,16,9,3,0.077,100,43.5,13.8,16,8.6,0.5,7.7,,,,,22,23,8.6
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,5.104347826,,,,,,,,,
